outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.15,(0.13-0.17), 85.0,(83.1-86.7),0.15 (0.13-0.17), 85.0 (83.1-86.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.13,(0.12-0.14), 87.3,(86.3-88.2),0.13 (0.12-0.14), 87.3 (86.3-88.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.19,(0.16-0.23), 80.7,(76.7-84.0),0.19 (0.16-0.23), 80.7 (76.7-84.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.23,(0.20-0.26), 77.2,(73.6-80.2),0.23 (0.20-0.26), 77.2 (73.6-80.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.20,(0.18-0.23), 79.8,(77.4-82.0),0.20 (0.18-0.23), 79.8 (77.4-82.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.18,(0.16-0.20), 81.7,(79.5-83.7),0.18 (0.16-0.20), 81.7 (79.5-83.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.18,(0.16-0.21), 81.7,(79.5-83.7),0.18 (0.16-0.21), 81.7 (79.5-83.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.16,(0.14-0.18), 84.3,(82.3-86.1),0.16 (0.14-0.18), 84.3 (82.3-86.1),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.13,(0.12-0.14), 86.7,(85.7-87.7),0.13 (0.12-0.14), 86.7 (85.7-87.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.11,(0.05-0.23), 89.1,(76.9-94.8),0.11 (0.05-0.23), 89.1 (76.9-94.8),-0.48,(-1.25-0.29),-0.48 (-1.25-0.29)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.14,(0.08-0.23), 86.5,(76.5-92.2),0.14 (0.08-0.23), 86.5 (76.5-92.2),-0.43,(-1.00-0.14),-0.43 (-1.00-0.14)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.18,(0.12-0.25), 82.5,(75.1-87.6),0.18 (0.12-0.25), 82.5 (75.1-87.6),-0.04,(-0.40-0.33),-0.04 (-0.40-0.33)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.17,(0.12-0.24), 83.0,(76.3-87.7),0.17 (0.12-0.24), 83.0 (76.3-87.7),0.06,(-0.29-0.41),0.06 (-0.29-0.41)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.16,(0.11-0.22), 84.1,(77.9-88.6),0.16 (0.11-0.22), 84.1 (77.9-88.6),-0.01,(-0.36-0.34),-0.01 (-0.36-0.34)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.10,(0.07-0.15), 89.6,(84.6-93.0),0.10 (0.07-0.15), 89.6 (84.6-93.0),-0.26,(-0.67-0.15),-0.26 (-0.67-0.15)
"Non-COVID-19
death",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.10,(0.08-0.12), 90.2,(88.1-91.9),0.10 (0.08-0.12), 90.2 (88.1-91.9),-0.15,(-0.35-0.06),-0.15 (-0.35-0.06)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.11,(0.05-0.24), 88.8,(76.3-94.7),0.11 (0.05-0.24), 88.8 (76.3-94.7),-0.49,(-1.26-0.28),-0.49 (-1.26-0.28)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.14,(0.08-0.24), 86.0,(75.7-91.9),0.14 (0.08-0.24), 86.0 (75.7-91.9),-0.45,(-1.02-0.12),-0.45 (-1.02-0.12)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.18,(0.13-0.26), 81.6,(74.0-87.0),0.18 (0.13-0.26), 81.6 (74.0-87.0),-0.06,(-0.42-0.31),-0.06 (-0.42-0.31)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.18,(0.13-0.25), 81.9,(74.9-86.9),0.18 (0.13-0.25), 81.9 (74.9-86.9),0.03,(-0.31-0.38),0.03 (-0.31-0.38)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.17,(0.12-0.24), 83.0,(76.3-87.8),0.17 (0.12-0.24), 83.0 (76.3-87.8),-0.03,(-0.38-0.32),-0.03 (-0.38-0.32)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.11,(0.08-0.17), 88.8,(83.4-92.4),0.11 (0.08-0.17), 88.8 (83.4-92.4),-0.29,(-0.70-0.12),-0.29 (-0.70-0.12)
"Non-COVID-19
death",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.11,(0.09-0.13), 89.4,(87.2-91.3),0.11 (0.09-0.13), 89.4 (87.2-91.3),-0.19,(-0.40-0.02),-0.19 (-0.40-0.02)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.10,(0.05-0.22), 89.6,(77.5-95.2),0.10 (0.05-0.22), 89.6 (77.5-95.2),-0.61,(-1.40-0.18),-0.61 (-1.40-0.18)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.14,(0.08-0.24), 86.4,(76.2-92.2),0.14 (0.08-0.24), 86.4 (76.2-92.2),-0.52,(-1.09-0.06),-0.52 (-1.09-0.06)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.19,(0.13-0.27), 80.9,(72.8-86.6),0.19 (0.13-0.27), 80.9 (72.8-86.6),-0.06,(-0.43-0.31),-0.06 (-0.43-0.31)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.19,(0.14-0.27), 80.5,(73.0-86.0),0.19 (0.14-0.27), 80.5 (73.0-86.0),0.06,(-0.28-0.41),0.06 (-0.28-0.41)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.18,(0.13-0.25), 82.2,(75.1-87.3),0.18 (0.13-0.25), 82.2 (75.1-87.3),-0.03,(-0.38-0.32),-0.03 (-0.38-0.32)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.12,(0.08-0.18), 88.2,(82.5-92.0),0.12 (0.08-0.18), 88.2 (82.5-92.0),-0.29,(-0.70-0.13),-0.29 (-0.70-0.13)
"Non-COVID-19
death",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.11,(0.09-0.13), 89.1,(86.7-91.1),0.11 (0.09-0.13), 89.1 (86.7-91.1),-0.20,(-0.41-0.02),-0.20 (-0.41-0.02)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.12,(0.09-0.15), 88.4,(84.6-91.3),0.12 (0.09-0.15), 88.4 (84.6-91.3),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.12,(0.10-0.16), 87.6,(84.5-90.1),0.12 (0.10-0.16), 87.6 (84.5-90.1),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.11,(0.09-0.13), 88.9,(86.8-90.6),0.11 (0.09-0.13), 88.9 (86.8-90.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.10,(0.09-0.12), 89.7,(87.9-91.2),0.10 (0.09-0.12), 89.7 (87.9-91.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.12,(0.10-0.14), 88.0,(86.0-89.7),0.12 (0.10-0.14), 88.0 (86.0-89.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.09,(0.08-0.11), 90.7,(88.9-92.1),0.09 (0.08-0.11), 90.7 (88.9-92.1),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.11,(0.10-0.12), 89.5,(88.5-90.4),0.11 (0.10-0.12), 89.5 (88.5-90.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.13,(0.10-0.17), 87.0,(82.7-90.2),0.13 (0.10-0.17), 87.0 (82.7-90.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.14,(0.11-0.18), 85.9,(82.3-88.8),0.14 (0.11-0.18), 85.9 (82.3-88.8),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.13,(0.11-0.15), 87.2,(84.8-89.2),0.13 (0.11-0.15), 87.2 (84.8-89.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.12,(0.10-0.14), 88.1,(85.9-89.9),0.12 (0.10-0.14), 88.1 (85.9-89.9),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.14,(0.12-0.16), 86.1,(83.7-88.1),0.14 (0.12-0.16), 86.1 (83.7-88.1),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.11,(0.09-0.13), 89.3,(87.3-91.0),0.11 (0.09-0.13), 89.3 (87.3-91.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.11,(0.10-0.13), 88.5,(87.4-89.6),0.11 (0.10-0.13), 88.5 (87.4-89.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.14,(0.11-0.19), 85.9,(81.2-89.5),0.14 (0.11-0.19), 85.9 (81.2-89.5),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.15,(0.12-0.19), 84.9,(80.9-88.0),0.15 (0.12-0.19), 84.9 (80.9-88.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.14,(0.12-0.17), 86.1,(83.5-88.3),0.14 (0.12-0.17), 86.1 (83.5-88.3),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.13,(0.11-0.15), 87.0,(84.7-89.0),0.13 (0.11-0.15), 87.0 (84.7-89.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.15,(0.13-0.18), 84.6,(82.0-86.9),0.15 (0.13-0.18), 84.6 (82.0-86.9),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.12,(0.10-0.14), 88.1,(85.8-90.0),0.12 (0.10-0.14), 88.1 (85.8-90.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.13,(0.11-0.14), 87.4,(86.1-88.6),0.13 (0.11-0.14), 87.4 (86.1-88.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.05,(0.01-0.19), 95.3,(81.1-98.8),0.05 (0.01-0.19), 95.3 (81.1-98.8),-0.90,(-2.32-0.52),-0.90 (-2.32-0.52)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.08,(0.03-0.18), 92.4,(81.5-96.8),0.08 (0.03-0.18), 92.4 (81.5-96.8),-0.48,(-1.39-0.43),-0.48 (-1.39-0.43)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.11,(0.06-0.18), 89.4,(82.1-93.7),0.11 (0.06-0.18), 89.4 (82.1-93.7),-0.05,(-0.59-0.50),-0.05 (-0.59-0.50)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.10,(0.06-0.17), 89.6,(83.1-93.5),0.10 (0.06-0.17), 89.6 (83.1-93.5),0.01,(-0.50-0.52),0.01 (-0.50-0.52)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.15,(0.10-0.22), 85.3,(77.9-90.3),0.15 (0.10-0.22), 85.3 (77.9-90.3),0.20,(-0.23-0.64),0.20 (-0.23-0.64)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.06,(0.03-0.11), 94.1,(89.0-96.8),0.06 (0.03-0.11), 94.1 (89.0-96.8),-0.46,(-1.09-0.18),-0.46 (-1.09-0.18)
"Non-COVID-19
death",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.09,(0.07-0.11), 91.3,(88.8-93.2),0.09 (0.07-0.11), 91.3 (88.8-93.2),-0.18,(-0.45-0.08),-0.18 (-0.45-0.08)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.05,(0.01-0.20), 95.0,(79.9-98.7),0.05 (0.01-0.20), 95.0 (79.9-98.7),-0.95,(-2.37-0.46),-0.95 (-2.37-0.46)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.08,(0.03-0.20), 91.8,(80.2-96.6),0.08 (0.03-0.20), 91.8 (80.2-96.6),-0.54,(-1.45-0.37),-0.54 (-1.45-0.37)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.12,(0.07-0.19), 88.5,(80.6-93.2),0.12 (0.07-0.19), 88.5 (80.6-93.2),-0.11,(-0.65-0.44),-0.11 (-0.65-0.44)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.11,(0.07-0.18), 88.6,(81.6-93.0),0.11 (0.07-0.18), 88.6 (81.6-93.0),-0.05,(-0.56-0.46),-0.05 (-0.56-0.46)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.16,(0.11-0.24), 84.0,(75.9-89.4),0.16 (0.11-0.24), 84.0 (75.9-89.4),0.14,(-0.30-0.58),0.14 (-0.30-0.58)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.06,(0.03-0.12), 93.6,(88.2-96.6),0.06 (0.03-0.12), 93.6 (88.2-96.6),-0.51,(-1.15-0.12),-0.51 (-1.15-0.12)
"Non-COVID-19
death",BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.09,(0.07-0.12), 90.9,(88.4-92.9),0.09 (0.07-0.12), 90.9 (88.4-92.9),-0.23,(-0.50-0.03),-0.23 (-0.50-0.03)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.05,(0.01-0.21), 94.7,(78.8-98.7),0.05 (0.01-0.21), 94.7 (78.8-98.7),-0.98,(-2.40-0.44),-0.98 (-2.40-0.44)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.09,(0.04-0.21), 91.2,(78.6-96.3),0.09 (0.04-0.21), 91.2 (78.6-96.3),-0.54,(-1.45-0.38),-0.54 (-1.45-0.38)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.13,(0.08-0.22), 87.1,(78.1-92.4),0.13 (0.08-0.22), 87.1 (78.1-92.4),-0.07,(-0.63-0.48),-0.07 (-0.63-0.48)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.13,(0.08-0.21), 87.1,(79.0-92.0),0.13 (0.08-0.21), 87.1 (79.0-92.0),0.00,(-0.51-0.51),0.00 (-0.51-0.51)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.18,(0.12-0.28), 81.8,(72.4-88.0),0.18 (0.12-0.28), 81.8 (72.4-88.0),0.17,(-0.28-0.62),0.17 (-0.28-0.62)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.08,(0.04-0.14), 92.4,(85.9-95.9),0.08 (0.04-0.14), 92.4 (85.9-95.9),-0.45,(-1.10-0.19),-0.45 (-1.10-0.19)
"Non-COVID-19
death",BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.10,(0.07-0.12), 90.4,(87.7-92.6),0.10 (0.07-0.12), 90.4 (87.7-92.6),-0.27,(-0.55-0.00),-0.27 (-0.55-0.00)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.25,(0.19-0.31), 75.5,(68.6-80.8),0.25 (0.19-0.31), 75.5 (68.6-80.8),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.31,(0.26-0.37), 68.9,(62.5-74.2),0.31 (0.26-0.37), 68.9 (62.5-74.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.27,(0.23-0.32), 72.8,(68.4-76.6),0.27 (0.23-0.32), 72.8 (68.4-76.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.25,(0.22-0.29), 75.0,(70.9-78.5),0.25 (0.22-0.29), 75.0 (70.9-78.5),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.23,(0.20-0.27), 77.1,(73.1-80.4),0.23 (0.20-0.27), 77.1 (73.1-80.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.23,(0.20-0.27), 77.0,(73.0-80.4),0.23 (0.20-0.27), 77.0 (73.0-80.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.21,(0.19-0.23), 79.3,(76.9-81.5),0.21 (0.19-0.23), 79.3 (76.9-81.5),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.23,(0.18-0.30), 76.7,(70.1-81.8),0.23 (0.18-0.30), 76.7 (70.1-81.8),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.30,(0.25-0.36), 70.2,(64.1-75.3),0.30 (0.25-0.36), 70.2 (64.1-75.3),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.26,(0.23-0.30), 73.8,(69.6-77.4),0.26 (0.23-0.30), 73.8 (69.6-77.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.24,(0.21-0.28), 75.9,(72.0-79.3),0.24 (0.21-0.28), 75.9 (72.0-79.3),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.22,(0.19-0.26), 78.0,(74.2-81.2),0.22 (0.19-0.26), 78.0 (74.2-81.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.22,(0.19-0.26), 77.9,(74.1-81.2),0.22 (0.19-0.26), 77.9 (74.1-81.2),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.21,(0.18-0.23), 79.5,(77.1-81.7),0.21 (0.18-0.23), 79.5 (77.1-81.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.24,(0.19-0.31), 76.0,(69.1-81.4),0.24 (0.19-0.31), 76.0 (69.1-81.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.32,(0.26-0.39), 68.3,(61.3-74.0),0.32 (0.26-0.39), 68.3 (61.3-74.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.27,(0.23-0.32), 72.7,(68.2-76.6),0.27 (0.23-0.32), 72.7 (68.2-76.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.25,(0.22-0.29), 74.9,(70.7-78.5),0.25 (0.22-0.29), 74.9 (70.7-78.5),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.23,(0.19-0.28), 76.9,(72.3-80.7),0.23 (0.19-0.28), 76.9 (72.3-80.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.22,(0.19-0.26), 78.1,(74.2-81.4),0.22 (0.19-0.26), 78.1 (74.2-81.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.21,(0.19-0.24), 78.7,(76.1-81.0),0.21 (0.19-0.24), 78.7 (76.1-81.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.19,(0.08-0.47), 81.0,(53.2-92.2),0.19 (0.08-0.47), 81.0 (53.2-92.2),-0.25,(-1.18-0.68),-0.25 (-1.18-0.68)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.20,(0.10-0.41), 79.9,(59.2-90.1),0.20 (0.10-0.41), 79.9 (59.2-90.1),-0.44,(-1.17-0.30),-0.44 (-1.17-0.30)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.24,(0.15-0.39), 75.7,(61.2-84.7),0.24 (0.15-0.39), 75.7 (61.2-84.7),-0.11,(-0.60-0.38),-0.11 (-0.60-0.38)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.24,(0.16-0.37), 75.8,(62.6-84.3),0.24 (0.16-0.37), 75.8 (62.6-84.3),-0.03,(-0.49-0.43),-0.03 (-0.49-0.43)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.15,(0.09-0.26), 84.9,(74.4-91.1),0.15 (0.09-0.26), 84.9 (74.4-91.1),-0.42,(-0.97-0.13),-0.42 (-0.97-0.13)
